"","EXPERIMENT","TRIAL","BIAS","TEST","SUBNUM","DAYSOLD","AGEYEARS","INCDECISION"
"1","MannerOfMotionCondition","1","PATHBIAS","MANNERBIAS","11","1567","4","1"
"2","MannerOfMotionCondition","2","MANNERBIAS","MANNERBIAS","11","1567","4","1"
"3","MannerOfMotionCondition","3","MANNERBIAS","MANNERBIAS","11","1567","4","1"
"4","MannerOfMotionCondition","4","MANNERBIAS","MANNERBIAS","11","1567","4","1"
"5","MannerOfMotionCondition","5","MANNERBIAS","MANNERBIAS","11","1567","4","1"
"6","MannerOfMotionCondition","6","MANNERBIAS","MANNERBIAS","11","1567","4","1"
"7","MannerOfMotionCondition","7","MANNERBIAS","MANNERBIAS","11","1567","4","1"
"8","MannerOfMotionCondition","8","MANNERBIAS","MANNERBIAS","11","1567","4","1"
"9","PathCondition","1","MANNERBIAS","MANNERBIAS","12","1511","4","0"
"10","PathCondition","1","MANNERBIAS","MANNERBIAS","13","2260","6","1"
"11","PathCondition","2","MANNERBIAS","PATHBIAS","13","2260","6","1"
"12","PathCondition","3","MANNERBIAS","MANNERBIAS","13","2260","6","1"
"13","PathCondition","4","MANNERBIAS","MANNERBIAS","13","2260","6","1"
"14","PathCondition","5","MANNERBIAS","MANNERBIAS","13","2260","6","1"
"15","PathCondition","6","MANNERBIAS","PATHBIAS","13","2260","6","1"
"16","PathCondition","7","MANNERBIAS","MANNERBIAS","13","2260","6","1"
"17","PathCondition","8","MANNERBIAS","MANNERBIAS","13","2260","6","1"
"18","PathCondition","1","MANNERBIAS","PATHBIAS","14","2253","6","1"
"19","PathCondition","2","MANNERBIAS","MANNERBIAS","14","2253","6","1"
"20","PathCondition","3","PATHBIAS","PATHBIAS","14","2253","6","1"
"21","PathCondition","4","MANNERBIAS","PATHBIAS","14","2253","6","1"
"22","PathCondition","5","MANNERBIAS","PATHBIAS","14","2253","6","1"
"23","PathCondition","6","PATHBIAS","MANNERBIAS","14","2253","6","1"
"24","PathCondition","7","MANNERBIAS","PATHBIAS","14","2253","6","1"
"25","PathCondition","8","MANNERBIAS","MANNERBIAS","14","2253","6","1"
"26","MannerOfMotionCondition","1","MANNERBIAS","MANNERBIAS","15","1763","4","1"
"27","MannerOfMotionCondition","2","MANNERBIAS","MANNERBIAS","15","1763","4","1"
"28","MannerOfMotionCondition","3","MANNERBIAS","MANNERBIAS","15","1763","4","1"
"29","MannerOfMotionCondition","4","MANNERBIAS","MANNERBIAS","15","1763","4","1"
"30","MannerOfMotionCondition","5","MANNERBIAS","MANNERBIAS","15","1763","4","1"
"31","MannerOfMotionCondition","6","MANNERBIAS","MANNERBIAS","15","1763","4","1"
"32","MannerOfMotionCondition","7","MANNERBIAS","MANNERBIAS","15","1763","4","1"
"33","MannerOfMotionCondition","8","MANNERBIAS","MANNERBIAS","15","1763","4","1"
"34","MannerOfMotionCondition","1","MANNERBIAS","MANNERBIAS","16","1936","5","1"
"35","MannerOfMotionCondition","2","PATHBIAS","MANNERBIAS","16","1936","5","1"
"36","MannerOfMotionCondition","3","PATHBIAS","MANNERBIAS","16","1936","5","1"
"37","MannerOfMotionCondition","4","PATHBIAS","MANNERBIAS","16","1936","5","1"
"38","MannerOfMotionCondition","5","MANNERBIAS","MANNERBIAS","16","1936","5","1"
"39","MannerOfMotionCondition","6","MANNERBIAS","MANNERBIAS","16","1936","5","1"
"40","MannerOfMotionCondition","7","MANNERBIAS","MANNERBIAS","16","1936","5","1"
"41","MannerOfMotionCondition","8","MANNERBIAS","MANNERBIAS","16","1936","5","1"
"42","MannerOfMotionCondition","1","MANNERBIAS","MANNERBIAS","17","2300","6","0"
"43","MannerOfMotionCondition","2","PATHBIAS","MANNERBIAS","17","2300","6","0"
"44","MannerOfMotionCondition","3","MANNERBIAS","MANNERBIAS","17","2300","6","0"
"45","MannerOfMotionCondition","4","MANNERBIAS","MANNERBIAS","17","2300","6","0"
"46","MannerOfMotionCondition","5","MANNERBIAS","MANNERBIAS","17","2300","6","0"
"47","MannerOfMotionCondition","6","MANNERBIAS","MANNERBIAS","17","2300","6","0"
"48","MannerOfMotionCondition","7","MANNERBIAS","MANNERBIAS","17","2300","6","0"
"49","MannerOfMotionCondition","8","MANNERBIAS","MANNERBIAS","17","2300","6","0"
"50","MannerOfMotionCondition","1","PATHBIAS","PATHBIAS","18","1747","4","0"
"51","MannerOfMotionCondition","2","MANNERBIAS","PATHBIAS","18","1747","4","0"
"52","MannerOfMotionCondition","3","MANNERBIAS","MANNERBIAS","18","1747","4","0"
"53","MannerOfMotionCondition","4","MANNERBIAS","MANNERBIAS","18","1747","4","0"
"54","MannerOfMotionCondition","5","PATHBIAS","MANNERBIAS","18","1747","4","0"
"55","MannerOfMotionCondition","6","MANNERBIAS","PATHBIAS","18","1747","4","0"
"56","MannerOfMotionCondition","7","MANNERBIAS","PATHBIAS","18","1747","4","0"
"57","MannerOfMotionCondition","8","MANNERBIAS","MANNERBIAS","18","1747","4","0"
"58","PathCondition","1","MANNERBIAS","MANNERBIAS","19","1841","5","1"
"59","PathCondition","2","MANNERBIAS","MANNERBIAS","19","1841","5","1"
"60","PathCondition","3","MANNERBIAS","MANNERBIAS","19","1841","5","1"
"61","PathCondition","4","MANNERBIAS","PATHBIAS","19","1841","5","1"
"62","PathCondition","5","PATHBIAS","MANNERBIAS","19","1841","5","1"
"63","PathCondition","6","MANNERBIAS","PATHBIAS","19","1841","5","1"
"64","PathCondition","7","PATHBIAS","MANNERBIAS","19","1841","5","1"
"65","PathCondition","8","PATHBIAS","PATHBIAS","19","1841","5","1"
"66","MannerOfMotionCondition","1","PATHBIAS","MANNERBIAS","11","1567","4","1"
"67","MannerOfMotionCondition","2","MANNERBIAS","MANNERBIAS","11","1567","4","1"
"68","MannerOfMotionCondition","3","MANNERBIAS","MANNERBIAS","11","1567","4","1"
"69","MannerOfMotionCondition","4","MANNERBIAS","MANNERBIAS","11","1567","4","1"
"70","MannerOfMotionCondition","5","MANNERBIAS","MANNERBIAS","11","1567","4","1"
"71","MannerOfMotionCondition","6","MANNERBIAS","MANNERBIAS","11","1567","4","1"
"72","MannerOfMotionCondition","7","MANNERBIAS","MANNERBIAS","11","1567","4","1"
"73","MannerOfMotionCondition","8","MANNERBIAS","MANNERBIAS","11","1567","4","1"
"74","PathCondition","1","MANNERBIAS","MANNERBIAS","12","1511","4","0"
"75","PathCondition","1","MANNERBIAS","MANNERBIAS","13","2260","6","1"
"76","PathCondition","2","MANNERBIAS","PATHBIAS","13","2260","6","1"
"77","PathCondition","3","MANNERBIAS","MANNERBIAS","13","2260","6","1"
"78","PathCondition","4","MANNERBIAS","MANNERBIAS","13","2260","6","1"
"79","PathCondition","5","MANNERBIAS","MANNERBIAS","13","2260","6","1"
"80","PathCondition","6","MANNERBIAS","PATHBIAS","13","2260","6","1"
"81","PathCondition","7","MANNERBIAS","MANNERBIAS","13","2260","6","1"
"82","PathCondition","8","MANNERBIAS","MANNERBIAS","13","2260","6","1"
"83","PathCondition","1","MANNERBIAS","PATHBIAS","14","2253","6","1"
"84","PathCondition","2","MANNERBIAS","MANNERBIAS","14","2253","6","1"
"85","PathCondition","3","PATHBIAS","PATHBIAS","14","2253","6","1"
"86","PathCondition","4","MANNERBIAS","PATHBIAS","14","2253","6","1"
"87","PathCondition","5","MANNERBIAS","PATHBIAS","14","2253","6","1"
"88","PathCondition","6","PATHBIAS","MANNERBIAS","14","2253","6","1"
"89","PathCondition","7","MANNERBIAS","PATHBIAS","14","2253","6","1"
"90","PathCondition","8","MANNERBIAS","MANNERBIAS","14","2253","6","1"
"91","MannerOfMotionCondition","1","MANNERBIAS","MANNERBIAS","15","1763","4","1"
"92","MannerOfMotionCondition","2","MANNERBIAS","MANNERBIAS","15","1763","4","1"
"93","MannerOfMotionCondition","3","MANNERBIAS","MANNERBIAS","15","1763","4","1"
"94","MannerOfMotionCondition","4","MANNERBIAS","MANNERBIAS","15","1763","4","1"
"95","MannerOfMotionCondition","5","MANNERBIAS","MANNERBIAS","15","1763","4","1"
"96","MannerOfMotionCondition","6","MANNERBIAS","MANNERBIAS","15","1763","4","1"
"97","MannerOfMotionCondition","7","MANNERBIAS","MANNERBIAS","15","1763","4","1"
"98","MannerOfMotionCondition","8","MANNERBIAS","MANNERBIAS","15","1763","4","1"
"99","MannerOfMotionCondition","1","MANNERBIAS","MANNERBIAS","16","1936","5","1"
"100","MannerOfMotionCondition","2","PATHBIAS","MANNERBIAS","16","1936","5","1"
"101","MannerOfMotionCondition","3","PATHBIAS","MANNERBIAS","16","1936","5","1"
"102","MannerOfMotionCondition","4","PATHBIAS","MANNERBIAS","16","1936","5","1"
"103","MannerOfMotionCondition","5","MANNERBIAS","MANNERBIAS","16","1936","5","1"
"104","MannerOfMotionCondition","6","MANNERBIAS","MANNERBIAS","16","1936","5","1"
"105","MannerOfMotionCondition","7","MANNERBIAS","MANNERBIAS","16","1936","5","1"
"106","MannerOfMotionCondition","8","MANNERBIAS","MANNERBIAS","16","1936","5","1"
"107","MannerOfMotionCondition","1","MANNERBIAS","MANNERBIAS","17","2300","6","0"
"108","MannerOfMotionCondition","2","PATHBIAS","MANNERBIAS","17","2300","6","0"
"109","MannerOfMotionCondition","3","MANNERBIAS","MANNERBIAS","17","2300","6","0"
"110","MannerOfMotionCondition","4","MANNERBIAS","MANNERBIAS","17","2300","6","0"
"111","MannerOfMotionCondition","5","MANNERBIAS","MANNERBIAS","17","2300","6","0"
"112","MannerOfMotionCondition","6","MANNERBIAS","MANNERBIAS","17","2300","6","0"
"113","MannerOfMotionCondition","7","MANNERBIAS","MANNERBIAS","17","2300","6","0"
"114","MannerOfMotionCondition","8","MANNERBIAS","MANNERBIAS","17","2300","6","0"
"115","MannerOfMotionCondition","1","PATHBIAS","PATHBIAS","18","1747","4","0"
"116","MannerOfMotionCondition","2","MANNERBIAS","PATHBIAS","18","1747","4","0"
"117","MannerOfMotionCondition","3","MANNERBIAS","MANNERBIAS","18","1747","4","0"
"118","MannerOfMotionCondition","4","MANNERBIAS","MANNERBIAS","18","1747","4","0"
"119","MannerOfMotionCondition","5","PATHBIAS","MANNERBIAS","18","1747","4","0"
"120","MannerOfMotionCondition","6","MANNERBIAS","PATHBIAS","18","1747","4","0"
"121","MannerOfMotionCondition","7","MANNERBIAS","PATHBIAS","18","1747","4","0"
"122","MannerOfMotionCondition","8","MANNERBIAS","MANNERBIAS","18","1747","4","0"
"123","PathCondition","1","MANNERBIAS","MANNERBIAS","19","1841","5","1"
"124","PathCondition","2","MANNERBIAS","MANNERBIAS","19","1841","5","1"
"125","PathCondition","3","MANNERBIAS","MANNERBIAS","19","1841","5","1"
"126","PathCondition","4","MANNERBIAS","PATHBIAS","19","1841","5","1"
"127","PathCondition","5","PATHBIAS","MANNERBIAS","19","1841","5","1"
"128","PathCondition","6","MANNERBIAS","PATHBIAS","19","1841","5","1"
"129","PathCondition","7","PATHBIAS","MANNERBIAS","19","1841","5","1"
"130","PathCondition","8","PATHBIAS","PATHBIAS","19","1841","5","1"
"131","MannerOfMotionCondition","1",NA,NA,NA,NA,NA,NA
